"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.53613942666889,0.879,0.607,0,"0","Slc2a1"
0,1.62791202611097,0.924,0.669,0,"0","Palld"
0,1.37271732534536,0.915,0.681,0,"0","Gm12840"
0,1.08897813500767,0.906,0.702,0,"0","Smoc2"
0,1.0211908700772,0.924,0.724,0,"0","Krt5"
0,1.16324397894741,0.904,0.727,0,"0","Tuba1c"
0,1.1335612405773,0.953,0.782,0,"0","Etf1"
0,1.20487953109904,0.955,0.83,0,"0","Emd"
0,1.22691229098234,0.978,0.854,0,"0","Tnfrsf12a"
0,1.12992549755804,0.954,0.852,0,"0","Neat1"
0,0.954002574276102,0.973,0.88,0,"0","Errfi1"
0,0.987822389684768,0.952,0.864,0,"0","Rheb"
0,0.976786357926235,0.999,0.912,0,"0","Dcn"
0,0.961551102142689,0.967,0.881,0,"0","Tpm4"
0,0.928176302242809,0.973,0.889,0,"0","Amd1"
0,1.3138095356506,0.979,0.923,0,"0","Krt17"
0,1.31483071152045,0.981,0.936,0,"0","Krt14"
0,1.04618812484264,0.997,0.967,0,"0","Sfn"
0,0.956120026953581,0.998,0.977,0,"0","Tpm1"
0,1.04379826569914,0.999,0.98,0,"0","Krt15"
0,0.820676704766245,0.997,0.991,0,"0","Slc25a3"
0,0.290801185010857,1,1,0,"0","Tpt1"
0,0.56945019603902,1,1,0,"0","Eif1"
4.28956626581185e-301,1.1869089659624,0.962,0.896,1.200992763102e-296,"0","Hbegf"
9.57470209927347e-295,0.846746428220281,0.983,0.923,2.68072509375458e-290,"0","Ptp4a1"
5.340902976328e-286,0.683294337304319,0.995,0.979,1.49534601531231e-281,"0","Apoe"
4.70271654441074e-285,1.8163982152352,0.629,0.322,1.31666657810412e-280,"0","Gprc5a"
4.43552546246686e-280,0.646394619972356,0.991,0.965,1.24185841898147e-275,"0","Eif2s2"
7.68538372671169e-277,0.861923579921823,0.994,0.974,2.15175373580474e-272,"0","Krt18"
2.65977606752996e-272,0.975773252272305,0.99,0.946,7.44684103387038e-268,"0","Klf4"
1.50299345334312e-254,1.2302725711254,0.83,0.672,4.20808107067007e-250,"0","Gsto1"
3.1658831603536e-245,1.0214572847424,0.807,0.562,8.863839672358e-241,"0","Fosl1"
2.10583853154307e-244,0.847356959642732,0.925,0.831,5.89592672061429e-240,"0","Ptp4a2"
2.2256826502136e-244,0.65481210071707,0.985,0.947,6.23146628406803e-240,"0","Top1"
9.32187073521175e-244,0.658540366720744,0.986,0.912,2.60993736844458e-239,"0","Perp"
4.09726521955924e-240,0.533740838528414,0.997,0.995,1.1471523161722e-235,"0","Eif4a1"
1.15465624957223e-235,1.09509334977282,0.954,0.905,3.23280656755233e-231,"0","Odc1"
1.67822585329401e-235,1.308443562323,0.771,0.557,4.69869674405256e-231,"0","Tubb6"
5.49625684655938e-232,0.949884641359645,0.903,0.767,1.5388419918997e-227,"0","Dst"
2.07686033331859e-230,1.33203991873109,0.769,0.545,5.81479356122538e-226,"0","F3"
2.5739357098373e-230,0.402382817224153,1,1,7.20650520040246e-226,"0","Actg1"
1.40994485918267e-224,0.786311529752837,0.976,0.925,3.94756361673964e-220,"0","Lmna"
2.65395140619204e-215,1.67873755384994,0.612,0.374,7.43053314705647e-211,"0","Lactb"
5.98388630397591e-214,0.589908263560501,0.998,0.981,1.67536848738718e-209,"0","Csrp1"
1.51799504841838e-211,0.929195503306201,0.831,0.653,4.25008253656177e-207,"0","Dsp"
7.30650288388492e-211,0.801885498369335,0.91,0.81,2.0456746774301e-206,"0","Sdcbp"
2.07589695548873e-208,1.29626013098589,0.769,0.596,5.81209629597734e-204,"0","Fhl2"
2.13631603400079e-208,0.880930753914493,0.878,0.752,5.98125763199542e-204,"0","Clic4"
1.37695018848004e-207,0.884832164634305,0.954,0.878,3.85518513770642e-203,"0","Lgals7"
3.18872186112169e-207,1.08473705164622,0.832,0.702,8.92778346676852e-203,"0","Nr4a3"
2.10637199795773e-199,0.487385516299311,0.989,0.975,5.89742031988204e-195,"0","Cnbp"
1.80274398718434e-198,0.941304973027705,0.818,0.677,5.04732261531872e-194,"0","Hspa4"
2.24176799524955e-193,0.859030388156508,0.89,0.763,6.27650203309968e-189,"0","Dusp6"
8.6932037380573e-190,0.604084253664622,0.99,0.962,2.43392318258128e-185,"0","Slc25a5"
2.76463726406245e-187,0.567991235691814,0.968,0.938,7.74043141192204e-183,"0","Sub1"
4.6761753637376e-185,0.556080574511288,0.986,0.975,1.30923557833925e-180,"0","Cd9"
2.95175335995182e-183,1.04192186978089,0.748,0.565,8.26431905719312e-179,"0","Por"
1.35798357882958e-181,1.07994731770011,0.707,0.507,3.80208242400705e-177,"0","Dot1l"
2.08492071416074e-178,1.08456283529279,0.734,0.526,5.83736101550724e-174,"0","Igfbp5"
1.11205357881133e-177,2.05193061951404,0.512,0.278,3.11352760995595e-173,"0","C2cd4b"
3.76887735535368e-177,0.782649327799498,0.897,0.816,1.05521028195192e-172,"0","Zc3h15"
1.43787713817366e-174,0.337229827181361,1,0.998,4.0257684114586e-170,"0","Oaz1"
2.63919203557646e-173,0.856532635882495,0.856,0.749,7.38920986120699e-169,"0","Rab6a"
1.38753332698496e-171,0.671836671163997,0.928,0.846,3.8848158088925e-167,"0","Bcl10"
1.74245864303177e-166,0.803436694453586,0.859,0.77,4.87853570876036e-162,"0","Hspa9"
1.90150339813258e-166,1.13281994540985,0.678,0.489,5.3238292140916e-162,"0","Lamc2"
9.66276605388211e-166,0.624715180208841,0.986,0.952,2.70538123976591e-161,"0","Krt8"
3.27404305193682e-163,0.742251163733931,0.873,0.728,9.16666573681271e-159,"0","Nfil3"
1.9448150899157e-162,0.729098186260079,0.865,0.747,5.44509328874598e-158,"0","Tubb4b"
3.00001001529872e-161,1.14349142792292,0.696,0.529,8.39942804083334e-157,"0","Map2k3"
4.66310980395407e-160,0.788188961256217,0.857,0.744,1.30557748291106e-155,"0","Tmed5"
4.63968514957309e-159,0.791926375510176,0.848,0.729,1.29901904817747e-154,"0","Nfe2l2"
2.77633903948982e-158,0.575561995635721,0.99,0.949,7.77319404276361e-154,"0","Cebpb"
1.77677855599542e-157,0.749364523119895,0.857,0.73,4.97462460107598e-153,"0","Tgif1"
7.15109819127371e-157,0.846651158392342,0.793,0.626,2.00216447159281e-152,"0","Cnn2"
1.1266906713895e-155,1.41369890440115,0.564,0.348,3.15450854175632e-151,"0","Osgin1"
8.84811863311333e-155,0.849405666040707,0.913,0.814,2.47729625489907e-150,"0","Nr4a2"
2.72966350797646e-153,1.48560260110955,0.529,0.307,7.64251188963249e-149,"0","Cxcl14"
5.80805018889957e-149,0.838514648611125,0.795,0.63,1.6261378918881e-144,"0","Cdkn1a"
